Workbook row,Capability,Feature,Requirement,Status,Priority,Existing code,Required update,Code evidence,Acceptance / evidence
5,ENTERPRISE DATA QUERY,Connection to enterprise systems,"Agent should connect to enterprise systems like ERP, HR, Procurement, DMS, Data Lake etc.",Partial,P1,"S/4HANA, SuccessFactors, SAC and M365 adapters.",Confirm entity-specific systems and DMS/data-lake coverage; do not equate configured plugins with verified connections.,mcp-apps/ask-s4hana/s4hana_mcp/tools.py:283; mcp-apps/ask-sac/sac_mcp/client.py:1; mcp-apps/ask-productivity/productivity_mcp/m365_client.py:1,"Authenticated system inventory, ownership/security matrix and a sourced cross-system demo."
6,ENTERPRISE DATA QUERY,Natural language querying,"Agent should translate executive questions into backend queries and return consolidated, permissioned, and sourced
answer",Partial,P1,Agent instructions route natural language to registered business tools.,"Add repeatable intent-to-query checks, permission tests and consolidated answers across adapters.",mcp-apps/ask-successfactors/agent/appPackage/instruction.txt:2; mcp-apps/ask-productivity/productivity_mcp/server.py:1,"Paraphrased executive questions return the correct scoped query, values, period and sources."
7,ENTERPRISE DATA QUERY,Cross system querying,"Agent should have the capability to identify and connect with multiple systems, wherever required based on the nature of the query, to provide a correct / appropriate response ",Partial,P1,Multiple plugins are packaged in the executive agent.,"Verify joins and consistent entity, period, currency and authorization across systems; no general cross-system query coordinator established.",mcp-apps/ask-successfactors/agent/appPackage/declarativeAgent.json:1; mcp-apps/ask-successfactors/agent/appPackage/instruction.txt:7,Demonstrate budget versus actual by division using actual source calls and one correlation trace.
8,ENTERPRISE DATA QUERY,Source transparency,Source system should be consistently displayed against information returned by the agent,Partial,P0,M365 evidence envelopes and source instructions exist.,Require verified claim-level sources throughout; evaluation generates fallback document IDs without fetching proof.,mcp-apps/ask-productivity/productivity_mcp/evidence_contracts.py:87; mcp-apps/ask-facilitator/facilitator_mcp/decision_service.py:172,Every material fact links to a real source/snapshot; absent evidence is explicitly unverified.
9,ENTERPRISE DATA QUERY,Permissions / Access,Agent controls access to data / information based on user persona,Partial,P0,"Verified identity, consent and role/scope mechanisms exist.","Bind Facilitator tenant, actor, roles and scopes to verified identity; REST currently forwards body arguments to handlers.",mcp-apps/ask-facilitator/facilitator_mcp/server.py:128; mcp-apps/ask-facilitator/facilitator_mcp/tools.py:492; mcp-apps/ask-facilitator/facilitator_mcp/tools.py:557,Cross-role and cross-tenant negative tests fail closed through REST and MCP transports.
10,ENTERPRISE DATA QUERY,Output consistency,Materially similar requests should produce substantively consistent outputs irrespective of phrasing or timing,Partial,P1,Deterministic calculations and versioned rules exist.,Add paraphrase regression tests with pinned source snapshots and reporting periods; changing live facts can legitimately change answers.,mcp-apps/ask-s4hana/s4hana_mcp/report_calculations.py:1; mcp-apps/ask-facilitator/facilitator_mcp/vendor_evaluation.py:302,"Same scope, period, source version and policy produce equal material facts across phrasings."
11,ENTERPRISE DATA QUERY,Audit logs,"Agent activity should be logged, including systems queried and sources accessed",Partial,P1,Dataverse audit clients and correlation fields exist.,"Verify durable read-call logging across SAP, SAC, M365 and consolidated requests; collect source-access exports.",mcp-apps/ask-productivity/productivity_mcp/audit_client.py:1; mcp-apps/ask-productivity/productivity_mcp/tools_m365_reads.py:26,Trace a cross-system request from user identity to each provider call and retained source snapshot.
12,PROACTIVE RECOMMENDATION ENGINE,Connection to internal and external data,"Agent continuously scans internal data (KPIs, finance,
operations, HR) or external signals (markets, regulations,
peer jurisdictions, media) in the background",Partial,P1,"KPI snapshots, rules and scan helper exist.",Wire scheduled source refresh into evaluation; worker only dispatches outbox and briefing subscriptions. Add approved external signals where required.,mcp-apps/ask-productivity/productivity_mcp/worker.py:192; mcp-apps/ask-productivity/productivity_mcp/recommendation_engine.py:1391,A scheduled run fetches fresh internal/external inputs and records evaluated sources without a user prompt.
13,PROACTIVE RECOMMENDATION ENGINE,Automated recommendations,"Agent automatically identifies risks and opportunities and shares it with executive, without being asked",Partial,P1,Threshold rules generate recommendations from supplied snapshots.,"Schedule KPI acquisition and evaluation, not only notification dispatch.",mcp-apps/ask-productivity/productivity_mcp/tools_recommendations.py:66; mcp-apps/ask-productivity/productivity_mcp/worker.py:192,A changed source KPI autonomously creates and delivers an alert; retain 30 consecutive days of real logs.
14,PROACTIVE RECOMMENDATION ENGINE,Recommendation categorizations,"Recommendations should be appropriately categorized into risks / opportunities / benchmarks, based on its nature",Partial,P1,Risk/opportunity categories supported.,BENCHMARK rules are deliberately skipped until comparable data exists; constrain categories to agreed business taxonomy.,mcp-apps/ask-productivity/productivity_mcp/recommendation_engine.py:1158,"Risk, opportunity and benchmark scenarios produce correctly categorized sourced alerts."
