local_entity_name,attribute,type,max_length,reference_targets,verification
cre2f_BotUserConsent,cre2f_botuserconsentid,primarykey,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_BotUserConsent,cre2f_channel,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_BotUserConsent,cre2f_consentdate,datetime,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_BotUserConsent,cre2f_consentgranted,bit,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_BotUserConsent,cre2f_consentversion,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_BotUserConsent,cre2f_newcolumn,nvarchar,1700,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_actor,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_agentname,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_auditdetail,ntext,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_correlationid,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_dataclassification,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_demodata,bit,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_durationms,int,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_environment,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_errorcode,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_eventtime,datetime,,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_newcolumn,nvarchar,1700,,Local XML only; verify live EntitySetName and metadata before write
cre2f_VeloraAgentAuditLog,cre2f_operation,nvarchar,8000,,Local XML only; verify live EntitySetName and metadata before write
