Control ID,Domain,Original requirement,Original owner,Workbook status,Review status,Open findings,Acceptance evidence,Review evidence
AIDEV-01,Architecture,"Maintain approved solution architecture and data-flow diagrams covering the agent, Copilot Studio, Azure AI Foundry, Microsoft Graph, Quilr gateways, Cloudflare, SAP, and MeshX, including trust boundaries and processing locations.",AI Development Team / Velora IT,In Progress,OPEN — source or verification gaps,R17,Every enabled integration maps to an owner-approved data flow and processing location.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-02,Threat modelling,"Produce and maintain an agent-specific threat model covering prompt injection, indirect injection, tool abuse, excessive agency, identity misuse, data leakage, poisoned retrieval, cross-user leakage, confused deputy, and egress bypass.",AI Development Team,In Progress,NOT VERIFIED — dedicated acceptance evidence required,,Each high-risk abuse case has an executable negative test and residual-risk owner.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-03,Environment segregation,"Fully separate development, test, and production resources, identities, data, secrets, endpoints, and deployment permissions.",AI Development Team,Not Started,OPEN — source or verification gaps,"R04, R17",Development credentials fail against production and production config rejects test/anonymous fallback.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-04,Secure SDLC,"Enforce protected branches, mandatory peer review, protected build pipelines, dependency scanning, secret scanning, and security gates before deployment.",AI Development Team,Not Started,OPEN — source or verification gaps,R16,A prohibited change and failed security scan cannot be promoted; retain pipeline evidence.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-05,Identity,"Use dedicated non-human workload identities for every agent component and integration. No shared accounts, no embedded user credentials.",AI Development Team / Velora IT,Not Started,OPEN — source or verification gaps,"R03, R04, R09, R11",Identity inventory and resource grants show no embedded user credentials or broadly shared executive account.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-06,Authorization,Define and enforce an explicit agent-to-tool permission matrix. The agent stays read-only by default; any write action requires separate approval.,AI Development Team / Velora IT,Not Started,OPEN — source or verification gaps,"R02, R03",Unauthorized tool and unapproved write are blocked before provider invocation.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-07,User context,Preserve the requesting user's identity and authorization context end to end. Never elevate access through a broadly privileged service identity.,AI Development Team,Not Started,OPEN — source or verification gaps,"R03, R05, R08, R11",Body substitution and cross-user/resource access fail while authorized same-user access succeeds.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-08,Secrets,"Store keys, certificates, and tokens in Azure Key Vault (or an approved secret store). Prohibit secrets in code, prompts, logs, config files, and deployment packages. Enable rotation.",AI Development Team,Not Started,OPEN — source or verification gaps,"R04, R09, R15",Secret scan passes and a controlled rotation/revocation rehearsal confirms old access fails.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-09,Network and egress,Restrict outbound communication to approved endpoints. Force all external-bound calls through the approved Quilr + Cloudflare path. Block any direct route bypass.,Cybersecurity Team,Not Started,OPEN — source or verification gaps,"R07, R17",Approved route succeeds; direct/alternate routes fail; incompatible flows remain disabled or explicitly excepted.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-10,Encryption,"Use TLS for all communications and approved encryption for persisted prompts, responses, logs, caches, and intermediate data. Reject invalid or untrusted certificates.",AI Development Team,Not Started,OPEN — source or verification gaps,R17,Invalid certificates fail and storage encryption/access evidence covers every data copy.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-11,Input validation,"Validate request structure, content type, size, encoding, and tool parameters against strict schemas before processing or invocation.",AI Development Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Malformed/oversized/unknown-field input is rejected before downstream processing.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-12,Prompt injection,"Implement layered direct and indirect prompt-injection defenses. Treat all external content (email, documents, retrieved data, tool responses) as untrusted data, never as instructions.",AI Development Team / Quilr,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Direct and indirect injection cannot cause unauthorized tool execution or disclosure.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-13,Tool control,"Maintain an approved tool and connector inventory. Enforce allowlisting and bind every tool to an approved purpose, schema, scope, and data source.",AI Development Team,Not Started,OPEN — source or verification gaps,R14,Unknown or changed capability is blocked pending approval and revalidation.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-14,Agency containment,Disable high-impact and irreversible actions by default. Require human approval and an integrity-protected confirmation for any consequential action before it runs.,AI Development Team,Not Started,OPEN — source or verification gaps,"R01, R02, R06, R15","Changed payload, missing confirmation, wrong user, expiry and concurrent replay produce no duplicate action.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-15,Output controls,"Filter or block restricted data, credentials, system prompts, internal instructions, and unsafe output before it is displayed or used downstream.",AI Development Team / Quilr,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Restricted test data and credentials never reach unauthorized output or partial streamed content.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-16,Grounding,"Ground factual responses in approved sources, provide source attribution, distinguish facts from model-generated analysis, and surface uncertainty or conflicting evidence.",AI Development Team,Not Started,OPEN — source or verification gaps,"R08, R13, R14","Unavailable or malformed sources produce explicit limitations, never fabricated facts or zero balances.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-17,Retrieval security,Restrict retrieval to approved indexed sources. Validate provenance and integrity. Prevent untrusted content from modifying system behavior.,AI Development Team,Not Started,OPEN — source or verification gaps,R12,An unauthorized or newly revoked source is excluded before context construction.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-18,Data minimization,"Send only the data attributes each request actually needs. Prohibit unnecessary prompt, context, document, or metadata transfer to models, gateways, and tools.",AI Development Team,Not Started,NOT VERIFIED — dedicated acceptance evidence required,,Captured synthetic request payload contains only the approved attributes needed for that operation.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-19,Data isolation,"Prevent cross-user, cross-session, cross-agent, and cross-source data leakage in memory, caches, retrieval results, and conversation state.",AI Development Team,Not Started,OPEN — source or verification gaps,"R08, R12",Two-user/two-tenant and revoked-access tests cannot retrieve another security context's results.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-20,Logging and traceability,"Log user identity, request/correlation ID, prompt event, sources, policy decisions, model/agent version, tool calls, approvals, and outputs, while avoiding prohibited sensitive data.",AI Development Team,Not Started,OPEN — source or verification gaps,"R01, R09",Reconstruct an action after restart; BUFFERED never releases a pending event; prohibited content absent.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-21,Monitoring,"Generate security events for injection attempts, denied access, abnormal tool use, repeated failures, route bypass, unusual volume, and configuration changes. Forward approved events to monitoring.",AI Development Team / CyberNxt SOC,Not Started,OPEN — source or verification gaps,R17,"Each critical synthetic event arrives, correlates correctly and triggers its expected operational response.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-22,Kill switch and rollback,"Provide tested emergency disablement for the agent, tools, and connectors, plus rollback to a known-good configuration without retaining excessive permissions.",AI Development Team / Velora IT,Not Started,OPEN — source or verification gaps,R07,Kill-switch rehearsal blocks every route within the agreed target and preserves unrelated service access.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-23,Configuration integrity,"Version and change-control system prompts, agent instructions, models, tools, policies, connectors, and deployment configuration. Detect unauthorized changes.",AI Development Team,Not Started,OPEN — source or verification gaps,"R16, R17",Unapproved configuration change is detected and prevented from enabling a new capability.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-24,Dependency and supply chain,"Maintain a component, package, model, and service inventory. Pin trusted versions, verify provenance, and remediate critical vulnerabilities before release.",AI Development Team,Not Started,OPEN — source or verification gaps,R17,Release SBOM matches the immutable image and unresolved release-blocking findings prevent promotion.,REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
AIDEV-25,Security testing,"Complete application, API, agentic-AI, and integration security testing, including negative authorization, prompt attacks, leakage, tool misuse, egress bypass, rate abuse, and error handling.",Cybersecurity Team,In Progress,OPEN — source or verification gaps,R16,"Authorization, injection, leakage, bypass, misuse and recovery cases have revision-specific retest evidence.",REVIEW.md; security-probe-results.json; suite XML/logs; source-snapshot.json; azure-read-verification.json
