Source sheet,Control ID,Domain,Original requirement,Original owner,Workbook status,Workbook notes,Work packages,Proposed release gate,Recommended fix,Acceptance evidence,Review status,Target date
Exec AI Agent Sec Controls ,AIDEV-01,Architecture,"Maintain approved solution architecture and data-flow diagrams covering the agent, Copilot Studio, Azure AI Foundry, Microsoft Graph, Quilr gateways, Cloudflare, SAP, and MeshX, including trust boundaries and processing locations.",AI Development Team / Velora IT,In Progress,,WP01,P1 before affected production capability,"Document actual agents, providers, gateways, regions, identities and per-flow trust boundaries.",Every enabled integration maps to an owner-approved data flow and processing location.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-02,Threat modelling,"Produce and maintain an agent-specific threat model covering prompt injection, indirect injection, tool abuse, excessive agency, identity misuse, data leakage, poisoned retrieval, cross-user leakage, confused deputy, and egress bypass.",AI Development Team,In Progress,,WP01,P1 before affected production capability,"Maintain abuse cases and mitigations for injection, confused deputy, leakage, tool misuse and bypass.",Each high-risk abuse case has an executable negative test and residual-risk owner.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-03,Environment segregation,"Fully separate development, test, and production resources, identities, data, secrets, endpoints, and deployment permissions.",AI Development Team,Not Started,,WP10,P1 before affected production capability,"Separate environment identities, endpoints, stores, secrets and deployment roles; disallow production test flags.",Development credentials fail against production and production config rejects test/anonymous fallback.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-04,Secure SDLC,"Enforce protected branches, mandatory peer review, protected build pipelines, dependency scanning, secret scanning, and security gates before deployment.",AI Development Team,Not Started,,WP11,P1 before affected production capability,Protect branches and CI identities; require independent reviews and scanning gates.,A prohibited change and failed security scan cannot be promoted; retain pipeline evidence.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-05,Identity,"Use dedicated non-human workload identities for every agent component and integration. No shared accounts, no embedded user credentials.",AI Development Team / Velora IT,Not Started,,"WP02,WP10",P1 before affected production capability,Assign a dedicated workload principal per trust boundary/integration while preserving delegated user rights.,Identity inventory and resource grants show no embedded user credentials or broadly shared executive account.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-06,Authorization,Define and enforce an explicit agent-to-tool permission matrix. The agent stays read-only by default; any write action requires separate approval.,AI Development Team / Velora IT,Not Started,,WP03,P1 before affected production capability,Create a versioned tool permission matrix; deny unknown operations and require separate governed-write approval.,Unauthorized tool and unapproved write are blocked before provider invocation.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-07,User context,Preserve the requesting user's identity and authorization context end to end. Never elevate access through a broadly privileged service identity.,AI Development Team,Not Started,,WP02,P1 before affected production capability,Bind requests to verified tenant/user identity and enforce downstream object/field entitlements.,Body substitution and cross-user/resource access fail while authorized same-user access succeeds.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-08,Secrets,"Store keys, certificates, and tokens in Azure Key Vault (or an approved secret store). Prohibit secrets in code, prompts, logs, config files, and deployment packages. Enable rotation.",AI Development Team,Not Started,,WP10,P1 before affected production capability,"Use an approved vault, rotation and revocation; remove production signing defaults and credential artifacts.",Secret scan passes and a controlled rotation/revocation rehearsal confirms old access fails.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-09,Network and egress,Restrict outbound communication to approved endpoints. Force all external-bound calls through the approved Quilr + Cloudflare path. Block any direct route bypass.,Cybersecurity Team,Not Started,,WP05,P1 before affected production capability,Define enforceable routes for every flow; verify managed-connector compatibility and block bypass.,Approved route succeeds; direct/alternate routes fail; incompatible flows remain disabled or explicitly excepted.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-10,Encryption,"Use TLS for all communications and approved encryption for persisted prompts, responses, logs, caches, and intermediate data. Reject invalid or untrusted certificates.",AI Development Team,Not Started,,"WP05,WP08",P1 before affected production capability,Validate TLS chains/hosts and encrypt approved persistent stores and backups.,Invalid certificates fail and storage encryption/access evidence covers every data copy.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
Exec AI Agent Sec Controls ,AIDEV-11,Input validation,"Validate request structure, content type, size, encoding, and tool parameters against strict schemas before processing or invocation.",AI Development Team,Not Started,,WP06,P1 before affected production capability,"Validate strict operation schemas, MIME type, size, nesting, encoding and allowed fields.",Malformed/oversized/unknown-field input is rejected before downstream processing.,Not independently verified; original workbook status preserved,To be assigned by accountable owner
