Action ID,Priority,Area,Suggested owner,Current gap,Pending action,Completion evidence,Dependencies
A01,P1,S4 monetary accuracy,SAP/Python developer,Numeric JSON still parses through float; invalid amounts become zero; special marker strings change type.,Parse numeric literals directly as Decimal; validate mandatory finite amounts; use collision-free exact JSON serialization.,Numeric and string amounts stay exact; malformed amounts fail as contract errors; all strings remain strings.,None
A02,P1,S4 source keys,SAP developer + source owner,Budget keys use absent or incorrect item/period fields and reject valid rows.,Confirm metadata keys for all four entities; use full compound keys and distinguish duplicates from different items.,All supplied document lines and periods retained once; conflicts block definitive totals.,Source metadata
A03,P1,Budget interpretation,Finance owner + SAP/Dataverse developer,"Raw sums now reconcile internally but additive grain, signs, value types, overlap and mapping remain unapproved.",Implement versioned Finance mappings and organization/fiscal semantics; suppress business totals when ambiguous.,Finance export reconciliation; no repeated-budget or controlling/actual double count; unsupported scope rejected.,A02; Finance decisions
A04,P1,MCP and REST transports,Backend developer,Streamable MCP initialize returns 500; FastMCP exposes seven tools while custom discovery exposes four.,Wire lifespan correctly; unify approved tool schemas and error handling; verify packaged connectors against served routes.,All approved transports initialize and call four reports; P&L unsupported; no schema drift.,A01
A05,P1,Verified identity and permissions,Identity/platform owner + backend developer,Shared keys/caller identity do not prove executive scope; SF admin role is hardcoded; Facilitator lacks equivalent route authentication.,Bind trusted identity to tenant/organization/mailbox/record scope and enforce every route; verify any gateway controls.,Forged identity and unauthorized read/write/admin calls denied; authorized calls succeed with attributable audit.,Approved entitlement matrix
A06,P1,Recommendation eligibility,Recommendation developer + Finance owner,requires_complete is not enforced; seed rules active; invalid/missing rule/snapshot fields can bypass checks.,"Load approved Dataverse rule versions; enforce completeness, freshness, dates, units, currency and effective state; fail closed.",Partial/stale/malformed/unapproved inputs emit no definitive recommendation.,A03; A13
A07,P1,Recommendation delivery and recovery,Backend/platform developer,ERROR without receipt becomes DELIVERED; simulation gate optional; local files lack atomic multi-replica claims.,Persist snapshots/breach/rule versions and delivery state transactionally; require accepted provider result and evidence; handle ambiguous retries.,Restart and concurrent runs produce no lost/duplicate logical action; error/simulated/missing receipt cannot be delivered.,A06; A09; persistent storage
A08,P1,Microsoft 365 read coverage,Graph connector developer,Several reads still use local lists; paging/date filters/nullable fields are incomplete.,Implement every advertised read with live scoped Graph contracts; explicit demo mode; complete paging and date/time handling.,Mail/calendar/Teams/Planner requests return correct scoped source data or truthful unavailable state.,A05
A09,P1,Microsoft 365 write fidelity,Graph connector developer,Attachments encode the input string; fallback receipt uses request-id as item-id; unresolved plans/buckets can continue.,"Resolve approved objects, faithfully send requested content, preserve real provider identifiers and surface partial/unknown outcomes.",Actual target content matches approved preview; links resolve; retries reconcile provider state.,A05; A10
A10,P1,Write approval and replay,Backend + identity developer,Default signing secret and process-local consumed nonce state remain.,Require managed signing secret; durable identity-bound approval/nonce claim with expiry and preview checksum; atomic audit/result reconciliation.,"Tampered, cross-user, expired or replayed approval blocked across restart/replicas.",A05; A13
A11,P1,Plain-language sources and evidence,Cross-service developer + product owner,Request time is used as sourceAsOf; random evidence references are not persisted snapshots; card/text assurance varies.,"Define and implement one evidence contract across all capabilities with plain-language source, scope, dates, limitations and saved evidence reference.",Each material statement traceable to accessible source/run; unknown freshness stays unknown; text/card/export agree.,A01; A03; A13
A12,P1,Institutional storage truthfulness,Facilitator/records developer,Local JSON files can claim Loop success without a Loop write; storage exceptions are swallowed; fixed briefs remain.,Use approved durable institutional repository with ACL/version/retention; return verified destination references and fail on storage errors.,Restart-safe authorized search; no success on failed storage; no invented Loop/OneNote links.,A05; A11; records-owner decisions
A13,P1,Dataverse solution and flows,Power Platform developer,14 table definitions are packaged but runtime integration/import not certified; flow file needs deployment verification.,Validate keys/relationships/security/solution components; export executable flows; integrate table CRUD and rule approval lifecycle.,"Clean-environment import, permissions and flow run evidence; immutable rules/evidence retrievable.",Environment access; approved schema
A14,P1,SF audit recovery,SF/backend/platform developer,Single committed-turn replay improved; spool keyed by turn_id can collapse multiple event types; local-storage failure is swallowed.,"Use unique event identity, full payload recovery, durable storage and verified Dataverse acknowledgement; compact/retry safely.",All events of same turn survive independently; no lost/duplicate audit after failure/restart.,A13; persistent storage
A15,P2,Self-service agent lifecycle,Copilot/Power Platform developer + PMO,Governed natural-language create/edit/pause/retire workflow not demonstrated.,"Implement approved agent boundary, versioned definitions, permitted tools, owners, approval and scheduled-run lifecycle.",PMO executes lifecycle end-to-end; paused/retired agents stop future runs and preserve history.,PMO boundary; A05; A13
A16,P2,Meeting briefs and EOD summaries,Orchestration developer + executive office,Fixed briefing facts and incomplete source reads are not scheduled sourced synthesis.,"Build meeting-change aware night-before and EOD schedules, source retrieval, completeness checks and durable delivery.",Correct Dubai-time schedule; no fabricated facts; cancellation/rescheduling and source outage handled.,A07; A08; A11
A17,P2,Meeting intelligence and closure,Meeting/Graph developer + PMO,Transcript-to-reviewed-decisions-to-real-task-to-reminder-to-closure flow not established.,"Implement approved transcript/minutes ingestion, review/edit, task IDs, reminders, escalation and closure reconciliation.","Evidence links connect transcript passage, approved action, actual task and closure; no duplicate tasks.",A08; A09; A12
A18,P2,Proposal evaluation,Evaluation developer + PMO/Finance,"Table existence does not establish proposal ingestion, rubric versioning or scoring workflow.","Implement approved rubrics, evidence extraction, deterministic weighted scoring, missing-evidence handling and review/export.",Repeatable scores on frozen facts; no invented missing facts; historical results retain original rubric.,Approved rubric/data; A11; A13
