Requirement ID,Workbook row,Capability,Feature,Requirement text,Workbook evidence text,Test IDs,Execution status,Acceptance owner,Evidence / defect
REQ-05,5,ENTERPRISE DATA QUERY,Connection to enterprise systems,"Agent should connect to enterprise systems like ERP, HR, Procurement, DMS, Data Lake etc.","1. Live demo: executive asks a cross system question (e.g. ""show me YTD
spend vs. budget by division"") and receives a sourced answer.","CFG-02,QRY-03",Not run,Unassigned,
REQ-06,6,ENTERPRISE DATA QUERY,Natural language querying,"Agent should translate executive questions into backend queries and return consolidated, permissioned, and sourced
answer","2. List of connected systems per entity (ERP, HRMS, document store, etc.)
along with their security matrix (if applicable).","QRY-01,QRY-02,QRY-04",Not run,Unassigned,
REQ-07,7,ENTERPRISE DATA QUERY,Cross system querying,"Agent should have the capability to identify and connect with multiple systems, wherever required based on the nature of the query, to provide a correct / appropriate response ",,QRY-03,Not run,Unassigned,
REQ-08,8,ENTERPRISE DATA QUERY,Source transparency,Source system should be consistently displayed against information returned by the agent,3. Access logs showing agent calling one or multiple data sources.,QRY-05,Not run,Unassigned,
REQ-09,9,ENTERPRISE DATA QUERY,Permissions / Access,Agent controls access to data / information based on user persona,,"SEC-01,SEC-02,SEC-03,SEC-05",Not run,Unassigned,
REQ-10,10,ENTERPRISE DATA QUERY,Output consistency,Materially similar requests should produce substantively consistent outputs irrespective of phrasing or timing,,"QRY-04,QRY-08",Not run,Unassigned,
REQ-11,11,ENTERPRISE DATA QUERY,Audit logs,"Agent activity should be logged, including systems queried and sources accessed",,"TRC-01,OPS-04",Not run,Unassigned,
REQ-12,12,PROACTIVE RECOMMENDATION ENGINE,Connection to internal and external data,"Agent continuously scans internal data (KPIs, finance,
operations, HR) or external signals (markets, regulations,
peer jurisdictions, media) in the background","1. Screenshot/Demo of the executive's
daily proactive alerts feed.","REC-01,OPS-01",Not run,Unassigned,
REQ-13,13,PROACTIVE RECOMMENDATION ENGINE,Automated recommendations,"Agent automatically identifies risks and opportunities and shares it with executive, without being asked","2. 30-day log of recommendations
issued, categorized by type (risk /
opportunity / benchmark).","REC-01,EVD-01",Not run,Unassigned,
REQ-14,14,PROACTIVE RECOMMENDATION ENGINE,Recommendation categorizations,"Recommendations should be appropriately categorized into risks / opportunities / benchmarks, based on its nature","3. Executive feedback rating (useful / not
useful) captured per alert (If
available).","REC-02,EVD-01",Not run,Unassigned,
REQ-15,15,PROACTIVE RECOMMENDATION ENGINE,Notification mechanism,"Agent should provide automated recommendations through a daily alerts feed, push notifications, or an end-of-day digest",,"REC-02,BRF-05",Not run,Unassigned,
REQ-16,16,PROACTIVE RECOMMENDATION ENGINE,Feedback mechanism,Agent captures feedback from Executive on the relevance  / usefulness of each alert issued (capturing risk / opportunity / benchmark),,REC-02,Not run,Unassigned,
REQ-17,17,PROACTIVE RECOMMENDATION ENGINE,Source transparency,Source system should be consistently displayed against information returned by the agent,,"QRY-05,REC-02",Not run,Unassigned,
REQ-18,18,PROACTIVE RECOMMENDATION ENGINE,Audit logs,Time stamped comprehensive logs of recommendations issued by the agent should be maintained showcasing that the engine operates autonomously,,"EVD-01,TRC-01",Not run,Unassigned,
REQ-19,19,EVALUATION ENGINE,Evaluation scope,"Agent ingests any proposal, strategy, business case,
budget submission, or expenditure request","1. Sample output from multiple cases of
repeated evaluations of test case
through logs to show the capability
and consistency of the engine",EVA-01,Not run,Unassigned,
REQ-20,20,EVALUATION ENGINE,Evaluation framework,"Agent produces a structured evaluation against the following criteria:
a. strategic priorities
b. fiscal impact
c. peer benchmarks
d. historical precedent","2. 30-day log of interactions showing
evidence of the evaluation engine
being utilized",EVA-03,Not run,Unassigned,
REQ-21,21,EVALUATION ENGINE,Output structure,"Output should include the following for each evaluation:
a. alignment score
b. financial impact
c. comparable cases
d. identified risks
e. open questions for the executive to probe",,EVA-03,Not run,Unassigned,
REQ-22,22,EVALUATION ENGINE,Output consistency,Output produced by the agent should be consistent every time,,EVA-04,Not run,Unassigned,
REQ-23,23,EVALUATION ENGINE,Confidence level,Agent shows a confidence level at the front end (for the executive to view) for evaluations and data points,,"EVA-02,EVA-05,TRC-06",Not run,Unassigned,
REQ-24,24,EVALUATION ENGINE,Audit logs,Time stamped comprehensive logs to showcase working of the evaluation engine should be maintained,,"TRC-01,EVD-02",Not run,Unassigned,
REQ-25,25,BRIEFING AND SYNTHESIS,Sync with Executive's emails and other platforms,"Agent reads the executive's calendar, inbox, or relevant
files","1. Sample pre-meeting brief and end-of day
digest","BRF-01,BRF-02",Not run,Unassigned,
REQ-26,26,BRIEFING AND SYNTHESIS,Automated briefs,"Agent automatically produces pre-meeting briefs,
end-of-day digests, or a triaged inbox view ranking what
needs attention","2. Logs confirming automated
generation and delivery timing (e.g.,
brief attached the night before, digest
delivered at end of day)","BRF-02,BRF-03,AUT-01",Not run,Unassigned,
REQ-27,27,BRIEFING AND SYNTHESIS,Automated delivery of briefs,"Briefs can be attached to every calendar invite the
night before or digests landing at the end of each day",,"BRF-03,MTG-01,AUT-01",Not run,Unassigned,
REQ-28,28,BRIEFING AND SYNTHESIS,Source transparency,"Briefs should contain references to underlying emails, meetings or documents where applicable",,"MTG-01,QRY-05",Not run,Unassigned,
REQ-29,29,BRIEFING AND SYNTHESIS,Audit logs,"Time stamped comprehensive logs to showcase automated generation and delivery of briefs, including delivery timing should be maintained",,"BRF-03,TRC-01",Not run,Unassigned,
REQ-30,30,AGENT CREATION,Natural language interface,"Through a simple natural-language interface, the
executive describes a recurring task to the agent",1. Live or recorded demo: executive describes a task in natural language; sub-agent is created and deployed.,AGT-01,Not run,Unassigned,
REQ-31,31,AGENT CREATION,Sub-agent creation,"Agent builds, deploys, and maintains a sub-agent to handle it based on the natural language request (non-technical).
No code, no IT ticket, no procurement cycle.",2. Logs showing agents created based on a user’s request.,AGT-01,Not run,Unassigned,
REQ-32,32,AGENT CREATION,Autonomous working of sub-agent,Sub-agents run autonomously on schedule or trigger to complete the Executive's tasks,,AGT-02,Not run,Unassigned,
REQ-33,33,AGENT CREATION,Control over sub-agents' lifecycle,"Executive can edit, pause, or retire sub-agents at any time with a simple interface",,AGT-03,Not run,Unassigned,
