test_id,capability,tracker_row,scenario,test_setup,expected_result,evidence_to_capture,status
UAT-001,Agent creation,2,Create inside approved template,"Executive confirms owner, schedule, scope and destination",Active instance with version and first run receipt,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-002,Agent creation,2,"Edit, pause and retire",Pause before a due run; retire with queued work,No new execution or delivery after cancellation check,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-003,Agent creation,2,Out-of-scope request,Request an unapproved connector or another user’s mailbox,Denied without creating or broadening permissions,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-004,Briefing synthesis,3,Night-before brief,Actual calendar occurrence plus authorized mail/documents,Cited brief at approved time; receipt and original item links,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-005,Briefing synthesis,3,Changed or cancelled meeting,Change occurrence after initial preparation,Old delivery cancelled or corrected; no duplicate,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-006,Briefing synthesis,3,Partial source outage,Mail available; calendar unavailable,Partial briefing names missing coverage; no fabricated agenda,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-007,Briefing synthesis,3,Time zone and permissions,Different local day and other organizer’s meeting,Correct UAE day; no unauthorized invite changes,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-008,Decision traceability,4,Reconstruct decision,Frozen source snapshot and rule version,"Export recreates calculation and identifies actor, rationale and sources",Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-009,Decision traceability,4,Audit outage and restart,Stop Dataverse then restart worker,Durable pending evidence or explicit failure; no false persisted status,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-010,Decision traceability,4,Tamper and export access,Modify export or request another scope,Integrity verification fails; unauthorized export denied,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-011,Decision traceability,4,Compare Purview records,Available source logs covering same sample period,Matched IDs or explicit missing/late secondary evidence,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-012,Enterprise data query,5,Six source reconciliations,"Same company, period, currency and population as source-owner report",Each of six KPIs reconciles within approved rounding tolerance,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-013,Enterprise data query,5,Multi-page finance,Result larger than one page; count omitted on one response,Complete continuation or clearly blocked aggregate,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-014,Enterprise data query,5,Cross-system query,Aligned workforce and finance snapshots,Correct mapped organization and two source citations,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-015,Enterprise data query,5,Mixed currency and credits,Positive/negative balances and multiple currencies,No blind absolute-value total or cross-currency sum,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-016,Enterprise data query,5,Denied identity and bypass,"Forged user fields, no consent, normal user on admin route",Server/gateway rejects; no data leaked,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-017,Enterprise data query,5,Private network,Call from configured Azure environment,"DNS, TLS and source routes pass; outage returns safe state",Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-018,Institutional memory,6,Old decision recall,Approved record older than 30 days,Original participants/context/files returned with historical label,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-019,Institutional memory,6,Revoked access and successor,Revoke source ACL then grant only role-approved records,No stale cached disclosure; successor gets permitted records only,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-020,Institutional memory,6,Deleted and superseded source,Delete one item; supersede another,Index/tombstone updated; history distinguishes versions,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-021,Meeting intelligence,7,Minutes to actions,Real transcript with segment timestamps,Confirmed owners/dates; real task IDs and sourced minutes,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-022,Meeting intelligence,7,Unclear owner/date,Transcript contains ambiguous commitments,Needs confirmation; no guessed owner or deadline,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-023,Meeting intelligence,7,Action reminder closure,Task near due date then completed,One authorized reminder; future reminders stop,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-024,Meeting intelligence,7,Duplicate/corrected transcript,Deliver same event twice then corrected version,No duplicate tasks; explicit reviewed changes,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-025,Meeting intelligence,7,Unsupported meeting,No authorized transcript/non-Teams source,Truthful unavailable path; no invented minutes,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-026,Proactive recommendations,8,Threshold boundaries,"Below, equal, above approved limit",Exact configured comparator and matching explanation,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-027,Proactive recommendations,8,Repeat breach and recovery,Same breach over retries; clears then returns,"One episode, approved reminder cadence, new episode after clear",Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-028,Proactive recommendations,8,Bad inputs,"Stale snapshot, partial rows, zero denominator, unapproved target",No definitive recommendation; data-quality state recorded,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
UAT-029,Proactive recommendations,8,Rule publication collision,Two approvers publish conflicting active versions,Conditional update rejects conflict; effective rule unambiguous,Environment; build digest; run ID; source/version; expected vs actual; screenshot/receipt; reviewer,PLANNED — not executed
