entity,provided_field,observed_type,authority_and_limit
ARageingData,CompanyCode,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,FiscalYear,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,AccountingDocument,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,LedgerGLLineItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,AccountingDocumentItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,Customer,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,CustomerName,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,GLAccount,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,GLAccountName,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,ProfitCenter,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,Segment,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,CompanyCodeCurrency,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,NetDueDate,date string,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,PostingDate,date string,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,DocumentDate,date string,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,OpenAmount,decimal — preserve precision and sign,User-supplied example; actual EDM type/nullability/key require $metadata verification
ARageingData,DaysOverdue,decimal — preserve precision and sign,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,CompanyCode,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,FiscalYear,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,AccountingDocument,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,LedgerGLLineItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,AccountingDocumentItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,Supplier,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,SupplierName,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,GLAccount,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,GLAccountName,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,ProfitCenter,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,Segment,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,DisplayCurrency,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,NetDueDate,date string,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,PostingDate,date string,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,DocumentDate,date string,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,OpenAmount,decimal — preserve precision and sign,User-supplied example; actual EDM type/nullability/key require $metadata verification
APageingData,DaysOverdue,decimal — preserve precision and sign,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetChangeDocument,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,FinMgmtAreaFiscalYear,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,FinancialManagementArea,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetCategory,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetChangeDocumentItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetDocumentYear,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetEntryDocument,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetEntryDocumentItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,BudgetPeriod,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,FundsCenter,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,FundsCenterDescription,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,CommitmentItem,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
BudgetTransfer,CommitmentItemDescription,string — preserve blank/leading zeros,User-supplied example; actual EDM type/nullability/key require $metadata verification
